experement_id,Model name,Max val_accuracy:loss,VOCAB_SIZE,WIN_SIZE,WIN_HOP,BestE,LastE
40,model_40_vs_10000_ws_3000_hop_300,3.9678129163913356,10000,3000,300,5,7
13,model_13_vs_5000_ws_4000_hop_350,3.948636182990723,5000,4000,350,7,7
11,model_11_vs_5000_ws_4000_hop_250,3.8562029229028196,5000,4000,250,9,9
86,model_86_vs_15000_ws_5000_hop_150,3.8294731882328485,15000,5000,150,7,9
48,model_48_vs_10000_ws_4000_hop_350,3.791440499836924,10000,4000,350,8,8
43,model_43_vs_10000_ws_4000_hop_100,3.736167139440526,10000,4000,100,10,10
81,model_81_vs_15000_ws_4000_hop_250,3.6610589660703696,15000,4000,250,7,12
71,model_71_vs_15000_ws_3000_hop_100,3.6064611563598516,15000,3000,100,10,10
72,model_72_vs_15000_ws_3000_hop_150,3.5795995420427573,15000,3000,150,9,9
12,model_12_vs_5000_ws_4000_hop_300,3.506442686267724,5000,4000,300,10,11
6,model_6_vs_5000_ws_3000_hop_350,3.494541840874545,5000,3000,350,6,6
4,model_4_vs_5000_ws_3000_hop_250,3.4935295563043294,5000,3000,250,4,9
5,model_5_vs_5000_ws_3000_hop_300,3.4521761470159174,5000,3000,300,5,7
82,model_82_vs_15000_ws_4000_hop_300,3.2751289887313266,15000,4000,300,8,9
101,model_101_vs_15000_ws_7000_hop_200,3.14072204707485,15000,7000,200,5,6
66,model_66_vs_10000_ws_7000_hop_200,3.0969579127973925,10000,7000,200,2,7
102,model_102_vs_15000_ws_7000_hop_250,3.0787441818858285,15000,7000,250,10,14
104,model_104_vs_15000_ws_7000_hop_350,2.7695062130629866,15000,7000,350,4,7
39,model_39_vs_10000_ws_3000_hop_250,2.356816131893041,10000,3000,250,7,7
